44b63165-a9d0-47e4-adad-99a9fc1ba1da 200 ::1 GET /dashboard 41.204 [Wed, 20 Oct 2021 11:10:50 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
bb249b4f-8e56-4c06-a926-95a3e4e7facd 200 ::1 GET /generateLogs 44.023 [Wed, 20 Oct 2021 11:12:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
e16ea767-033d-4b59-9f3c-a2c52b1e0599 200 ::1 GET / 41.697 [Thu, 28 Oct 2021 07:08:17 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
9d122496-b88f-45b7-be23-1a053e6698de 302 ::1 POST /login 108.896 [Thu, 28 Oct 2021 07:08:31 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
d1d1c44c-44f6-4067-af3d-26a363eb9319 200 ::1 GET /dashboard 8.820 [Thu, 28 Oct 2021 07:08:31 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
a19e2a2d-a158-40e4-ad18-681e81c6abcd 404 ::1 GET /bootstrap/js/bootstrap.bundle.min.js.map 6.133 [Thu, 28 Oct 2021 07:08:38 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
9aa928cb-fb00-46c9-90db-2e4c7e6c5047 200 ::1 GET /dashboard 7.879 [Thu, 28 Oct 2021 07:08:42 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
7a17e007-1f17-496c-86ff-a73d9b6750a9 404 ::1 GET /bootstrap/js/bootstrap.bundle.min.js.map 4.901 [Thu, 28 Oct 2021 07:08:42 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
c924d603-7ae4-4fb4-b35b-21925a7e7734 - ::1 POST /generateLogs - [Thu, 28 Oct 2021 07:10:52 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
7230d918-25ed-4202-bbd9-5a9360523f37 304 ::1 GET /dashboard 31.371 [Thu, 28 Oct 2021 07:22:17 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
c22c4b95-e132-4203-8431-838db28ea331 200 ::1 GET /generateLogs 28.201 [Thu, 28 Oct 2021 07:25:45 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
5ec43168-99ef-43fd-b8f9-7387cfc86277 - ::1 POST /generateLogs - [Thu, 28 Oct 2021 08:48:34 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
7ffb48e5-b22f-4b63-952d-abe11acf50c0 200 ::1 GET / 147.290 [Tue, 02 Nov 2021 15:17:44 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
b241a3a2-0b74-496e-9e65-b7020d3b9f24 302 ::1 POST /login 118.264 [Tue, 02 Nov 2021 15:17:55 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
21735c2b-7510-4c6b-a7fd-f0ec9209f304 200 ::1 GET /dashboard 11.896 [Tue, 02 Nov 2021 15:17:55 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
