47d9b85e-82ca-4c8e-ad4f-f054bfe3b4a6 404 ::1 GET /bootstrap/js/bootstrap.bundle.min.js.map 16.825 [Tue, 12 Oct 2021 11:23:55 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
9887bb4c-3cb2-4bf0-bcc7-52c1c54375aa 200 ::1 GET / 58.979 [Tue, 12 Oct 2021 11:24:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
86132eb6-7433-4413-a007-5c0108023f45 404 ::1 GET /bootstrap/js/bootstrap.bundle.min.js.map 19.750 [Tue, 12 Oct 2021 11:24:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
c7fc7729-82b7-4728-b768-e61b83f4eda4 200 ::1 GET / 71.167 [Tue, 12 Oct 2021 11:24:46 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
9a7cdeb1-57e0-4242-a917-50841b7a661e 404 ::1 GET /bootstrap/js/bootstrap.bundle.min.js.map 16.517 [Tue, 12 Oct 2021 11:24:46 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
df7dc113-c152-4eb2-b574-5c09b74c5f9b 200 ::1 GET / 31.350 [Tue, 12 Oct 2021 11:25:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
7f77456e-5273-411a-8c83-fb60edab52dd 404 ::1 GET /bootstrap/js/bootstrap.bundle.min.js.map 15.102 [Tue, 12 Oct 2021 11:25:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
f88e1135-4932-4c2e-aac0-5b8e529558a8 200 ::1 GET / 62.300 [Tue, 12 Oct 2021 11:27:44 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
92ae0edb-0ab4-468a-849d-125bfa5742bf 404 ::1 GET /bootstrap/js/bootstrap.bundle.min.js.map 25.061 [Tue, 12 Oct 2021 11:27:45 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
d79ce075-25db-4945-b770-e317756e3271 200 ::1 GET / 25.338 [Tue, 12 Oct 2021 11:27:47 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
